,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
4502,1949.0,AUSTRALIA,Queensland,Yorkeys Knob Beach near Cairns,Swimming,N,Abdomen & chest abraded,No Values
4503,1949.0,AUSTRALIA,Queensland,Yorkeys Knob Beach near Cairns,Swimming,Y,"FATAL, right leg, thigh & fingers lacerated ",No Values
4504,1949.0,ITALY,Tuscany,Elba Island,Swimming,,No injury,Other
4505,1949.0,AUSTRALIA,Tasmania,Flinders Island,Swimming,N,Hip lacerated,No Values
4506,1949.0,ITALY,Calabria,Cosenza,Swimming,N,Right hand severed,No Values
4507,1949.0,IRAN,Shatt-el-Arab River,,Swimming,N,Right leg lacerated,No Values
4508,1949.0,IRAN,Shatt-al-Arab River,Bashamir,Swimming,Y,"FATAL, thigh lacerated, femur exposed ",No Values
4509,1949.0,USA,South Carolina,"Oketee River, Jasper County",Other,N,"Abdomen abraded, thigh lacerated",No Values
4510,1949.0,USA,California,"10 miles off Redondo Beach, Los Angeles County",Fishing,N,Right hand bitten by hooked shark being pulled onboard PROVOKED INCIDENT,Other
4511,1949.0,CHINA,,Between Tientsin & Hong Kong,Fishing,Y,"FATAL, at time of sinking several men were thrown in water & killed by sharks, survivors were rescued 3 days later by the Panamanian ship Christobel",No Values
4512,1949.0,AUSTRALIA,Western Australia,Broome,Bathing,N,"Left arm severed above elbow, recovered 5 days afterwards from sharks gut",Other
4513,1949.0,AUSTRALIA,New South Wales,Nelson's Bay,Other,N,Lacerations to right hand PROVOKED INCIDENT,No Values
4514,1949.0,AUSTRALIA,Queensland,"Nerang River, Southpot",Fishing,N,Toe bitten by netted shark PROVOKED INCIDENT,Other
4515,1949.0,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",Bathing,Y,"FATAL, left leg severed",Other
4516,1949.0,MEXICO,Tamaulipas,"Miramar Beach, Tampico",Bathing,N,"U.S. destroyer John W. Weeks, 6 miles offshore, demonstrating guns & bombs for Mexican officials was thought to have driven the shark into the shallows where it bit the bather before other bathers drove it away with sticks & clubs.",No Values
4517,1949.0,AUSTRALIA,South Australia,18 miles south of Port Augusta,Other,UNKNOWN,,No Values
4518,1949.0,AUSTRALIA,New South Wales,"Bar Beach, Newcastle ",Other,Y,FATAL,White shark
4519,1949.0,AUSTRALIA,New South Wales,Off North Bondi,Surfing,,"No injury, chased by 3 sharks",Other
4520,1949.0,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",Surfing,N,"No injury, shark bumped ski",No Values
4521,1949.0,AUSTRALIA,Western Australia,"Leighton Beach, North Fremantle",Other,,Human hand recovered from 2.4 m [8'] tiger shark,Other
4522,1949.0,ITALY,Tyrrhenian Sea,San Vincenzo,Fishing,N,No injury to occupant,White shark
4523,1949.0,NEW GUINEA,Calvados Archipelago,"Sabara Island, Calvados Chain 11.4S, 153E",Other,Y,FATAL,No Values
4524,1949.0,PAPUA NEW GUINEA,New Ireland Province,"Kulengei, southeast of Kalili, Kavieng",Other,N,"Leg bitten, surgically amputated",No Values
4525,1949.0,PAPUA NEW GUINEA,New Ireland Province,"Enang , Kavieng",Other,N,Hand & shoulder bitten,No Values
4526,1949.0,PAPUA NEW GUINEA,Bougainville (North Solomons),"Orava (Aravo) Islet , near Kieta. ",Spearfishing,Y,"FATAL, ""Nearly bitten in two through loin"".",No Values
4527,1949.0,PAPUA NEW GUINEA,Bougainville (North Solomons),"Sohano Island, Buka Passage",Swimming,N,Hand severed,No Values
4528,1949.0,NEW GUINEA,"Abau Sub District, Central Province",Kerpuna ,Swimming,Y,"FATAL. One man's abdomen removed, the other received severe multiple injuries.",No Values
4529,1948.0,AUSTRALIA,Western Australia,Lancelin Island,Swimming,Y,"FATAL, disappeared while swimming  ",Tiger shark
4530,1948.0,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Other,Y,"FATAL, left hand severed, left leg arm bitten, tissue removed hip to knee  ",No Values
4531,1948.0,IRAN,Shat-Al-Arab River,Abadan,Other,N,Left thumb severed,No Values
4532,1948.0,CUBA,Guantanamo Province,10 miles off Cape Maisi,Other,N,"2 hours later shark bit Jeppsens feet, arm, knee & finally killed him. Tony, clothing torn but alive, washed ashore on Cuban coast",No Values
